Date,FBAKX,FXAIX
2015-01-02,22.780000686645508,72.83999633789062
2015-01-05,22.489999771118164,71.51000213623047
2015-01-06,22.329999923706055,70.87999725341797
2015-01-07,22.520000457763672,71.72000122070312
2015-01-08,22.770000457763672,73.01000213623047
2015-01-09,22.68000030517578,72.38999938964844
2015-01-12,22.56999969482422,71.80999755859375
2015-01-13,22.540000915527344,71.62999725341797
2015-01-14,22.459999084472656,71.22000122070312
2015-01-15,22.309999465942383,70.55999755859375
2015-01-16,22.479999542236328,71.51000213623047
2015-01-20,22.520000457763672,71.62000274658203
2015-01-21,22.610000610351562,71.97000122070312
2015-01-22,22.81999969482422,73.06999969482422
2015-01-23,22.809999465942383,72.66999816894531
2015-01-26,22.8799991607666,72.8499984741211
2015-01-27,22.739999771118164,71.87999725341797
2015-01-28,22.549999237060547,70.91000366210938
2015-01-29,22.65999984741211,71.5999984741211
2015-01-30,22.510000228881836,70.66999816894531
2015-02-02,22.670000076293945,71.58000183105469
2015-02-03,22.8700008392334,72.62000274658203
2015-02-04,22.790000915527344,72.33999633789062
2015-02-05,22.940000534057617,73.0999984741211
2015-02-06,22.860000610351562,72.87000274658203
2015-02-09,22.790000915527344,72.55999755859375
2015-02-10,22.950000762939453,73.33999633789062
2015-02-11,22.950000762939453,73.36000061035156
2015-02-12,23.1200008392334,74.08999633789062
2015-02-13,23.200000762939453,74.4000015258789
2015-02-17,23.219999313354492,74.52999877929688
2015-02-18,23.25,74.51000213623047
2015-02-19,23.239999771118164,74.44000244140625
2015-02-20,23.350000381469727,74.9000015258789
2015-02-23,23.3700008392334,74.87999725341797
2015-02-24,23.43000030517578,75.08999633789062
2015-02-25,23.450000762939453,75.05000305175781
2015-02-26,23.43000030517578,74.94999694824219
2015-02-27,23.389999389648438,74.7300033569336
2015-03-02,23.450000762939453,75.19000244140625
2015-03-03,23.389999389648438,74.8499984741211
2015-03-04,23.350000381469727,74.52999877929688
2015-03-05,23.389999389648438,74.62999725341797
2015-03-06,23.15999984741211,73.58000183105469
2015-03-09,23.209999084472656,73.87999725341797
2015-03-10,22.950000762939453,72.62999725341797
2015-03-11,22.959999084472656,72.5
2015-03-12,23.139999389648438,73.43000030517578
2015-03-13,23.059999465942383,72.98999786376953
2015-03-16,23.270000457763672,73.97000122070312
2015-03-17,23.260000228881836,73.7300033569336
2015-03-18,23.489999771118164,74.62999725341797
2015-03-19,23.399999618530273,74.2699966430664
2015-03-20,23.56999969482422,74.93000030517578
2015-03-23,23.530000686645508,74.80000305175781
2015-03-24,23.459999084472656,74.3499984741211
2015-03-25,23.200000762939453,73.2699966430664
2015-03-26,23.149999618530273,73.0999984741211
2015-03-27,23.209999084472656,73.27999877929688
2015-03-30,23.399999618530273,74.19000244140625
2015-03-31,23.280000686645508,73.54000091552734
2015-04-01,23.15999984741211,72.93000030517578
2015-04-02,23.209999084472656,73.19000244140625
2015-04-06,23.299999237060547,73.68000030517578
2015-04-07,23.290000915527344,73.52999877929688
2015-04-08,23.360000610351562,73.75
2015-04-09,23.399999618530273,74.08000183105469
2015-04-10,23.450000762939453,74.19999694824219
2015-04-13,23.40999984741211,73.86000061035156
2015-04-14,23.459999084472656,73.9800033569336
2015-04-15,23.549999237060547,74.36000061035156
2015-04-16,23.540000915527344,74.30999755859375
2015-04-17,23.3700008392334,73.47000122070312
2015-04-20,23.489999771118164,74.1500015258789
2015-04-21,23.479999542236328,74.04000091552734
2015-04-22,23.530000686645508,74.41999816894531
2015-04-23,23.559999465942383,74.5999984741211
2015-04-24,23.56999969482422,74.7699966430664
2015-04-27,23.5,74.45999908447266
2015-04-28,23.479999542236328,74.66999816894531
2015-04-29,23.40999984741211,74.4000015258789
2015-04-30,23.239999771118164,73.6500015258789
2015-05-01,23.389999389648438,74.44999694824219
2015-05-04,23.420000076293945,74.66999816894531
2015-05-05,23.219999313354492,73.79000091552734
2015-05-06,23.170000076293945,73.48999786376953
2015-05-07,23.25,73.79000091552734
2015-05-08,23.450000762939453,74.77999877929688
2015-05-11,23.360000610351562,74.41999816894531
2015-05-12,23.350000381469727,74.20999908447266
2015-05-13,23.360000610351562,74.19999694824219
2015-05-14,23.559999465942383,75.0
2015-05-15,23.579999923706055,75.06999969482422
2015-05-18,23.6200008392334,75.30000305175781
2015-05-19,23.610000610351562,75.2699966430664
2015-05-20,23.610000610351562,75.20999908447266
2015-05-21,23.68000030517578,75.38999938964844
2015-05-22,23.65999984741211,75.2300033569336
2015-05-26,23.510000228881836,74.45999908447266
2015-05-27,23.65999984741211,75.1500015258789
2015-05-28,23.6299991607666,75.06999969482422
2015-05-29,23.510000228881836,74.58999633789062
2015-06-01,23.530000686645508,74.76000213623047
2015-06-02,23.5,74.68000030517578
2015-06-03,23.530000686645508,74.86000061035156
2015-06-04,23.420000076293945,74.20999908447266
2015-06-05,23.420000076293945,74.11000061035156
2015-06-08,23.309999465942383,73.63999938964844
2015-06-09,23.290000915527344,73.66999816894531
2015-06-10,23.459999084472656,74.56999969482422
2015-06-11,23.520000457763672,74.72000122070312
2015-06-12,23.43000030517578,74.19999694824219
2015-06-15,23.3700008392334,73.86000061035156
2015-06-16,23.469999313354492,74.27999877929688
2015-06-17,23.5,74.43000030517578
2015-06-18,23.639999389648438,75.16999816894531
2015-06-19,23.59000015258789,74.7699966430664
2015-06-22,23.65999984741211,75.2300033569336
2015-06-23,23.65999984741211,75.29000091552734
2015-06-24,23.549999237060547,74.7300033569336
2015-06-25,23.5,74.5199966430664
2015-06-26,23.450000762939453,74.5
